congress,demsH,demsS,othersH,othersS,repsH,repsS,totalH,totalS,vacantsH,vacantsS,years
34th,83,42,43,5,108,15,234,62,—,—,1855–1857
35th,131,39,14,5,92,20,237,64,—,—,1857–1859
36th,101,38,23,2,113,26,237,66,—,—,1859–1861
37th,42,11,28,7,106,31,178,50,2,1,1861–1863
38th,80,12,—,—,103,39,183,51,—,—,1863–1865
39th,46,10,—,—,145,42,191,52,—,—,1865–1867
40th,49,11,—,—,143,42,193,53,1,—,1867–1869
41st,73,11,—,—,170,61,243,74,—,2,1869–1871
42nd,104,17,—,—,139,57,243,74,—,—,1871–1873
43rd,88,19,—,—,203,54,293,74,2,1,1873–1875
44th,181,29,3,—,107,46,293,76,2,1,1875–1877
45th,156,36,—,1,137,39,293,76,—,—,1877–1879
46th,150,43,14,—,128,33,293,76,1,—,1879–1881
47th,130,37,11,2,152,37,293,76,—,—,1881–1883
48th,200,36,6,—,119,40,325,76,—,—,1883–1885
49th,182,34,2,—,140,41,325,76,1,1,1885–1887
50th,170,37,4,—,151,39,325,76,—,—,1887–1889
51st,156,37,1,—,173,47,330,84,—,—,1889–1891
52nd,231,39,14,2,88,47,333,88,—,—,1891–1893
53rd,220,44,10,3,126,38,356,88,—,3,1893–1895
54th,104,39,7,5,246,44,357,88,—,—,1895–1897
55th,134,34,16,10,206,46,357,90,1,—,1897–1899
56th,163,26,9,11,185,53,357,90,—,—,1899–1901
57th,153,29,5,3,198,56,357,90,1,2,1901–1903
58th,178,32,—,—,207,58,386,90,1,—,1903–1905
59th,136,32,—,—,250,58,386,90,—,—,1905–1907
60th,164,29,—,—,222,61,386,92,—,2,1907–1909
61st,172,32,—,—,219,59,391,92,—,1,1909–1911
62nd,228,42,1,—,162,49,391,92,—,1,1911–1913
63rd,290,51,18,1,127,44,435,96,—,—,1913–1915
64th,231,56,8,1,193,39,435,96,3,—,1915–1917
65th,210,53,9,1,216,42,435,96,—,—,1917–1919
66th,191,47,7,1,237,48,435,96,—,—,1919–1921
67th,132,37,1,—,300,59,435,96,2,—,1921–1923
68th,207,43,3,2,225,51,435,96,—,—,1923–1925
69th,183,40,5,1,247,54,435,96,—,1,1925–1927
70th,195,47,3,1,237,48,435,96,—,—,1927–1929
71st,163,39,1,1,267,56,435,96,4,—,1929–1931
72nd,216,47,1,1,218,48,435,96,—,—,1931–1933
73rd,313,59,5,1,117,36,435,96,—,—,1933–1935
74th,322,69,10,2,103,25,435,96,—,—,1935–1937
75th,333,75,13,4,89,17,435,96,—,—,1937–1939
76th,262,69,4,4,169,23,435,96,—,—,1939–1941
77th,267,66,6,2,162,28,435,96,—,—,1941–1943
78th,222,57,4,1,209,38,435,96,—,—,1943–1945
79th,243,57,2,1,190,38,435,96,—,—,1945–1947
80th,188,45,1,—,246,51,435,96,—,—,1947–1949
81st,263,54,1,—,171,42,435,96,—,—,1949–1951
82nd,234,48,2,1,199,47,435,96,—,—,1951–1953
83rd,213,46,1,2,221,48,435,96,—,—,1953–1955
84th,232,48,—,1,203,47,435,96,—,—,1955–1957
85th,234,49,—,—,201,47,435,96,—,—,1957–1959
86th,283,64,—,—,153,34,436,98,—,—,1959–1961
87th,262,64,—,—,175,36,437,100,—,—,1961–1963
88th,258,67,—,—,176,33,435,100,1,—,1963–1965
89th,295,68,—,—,140,32,435,100,—,—,1965–1967
90th,248,64,—,—,187,36,435,100,—,—,1967–1969
91st,243,58,—,—,192,42,435,100,—,—,1969–1971
92nd,255,54,—,2,180,44,435,100,—,—,1971–1973
93rd,242,56,1,2,192,42,435,100,—,—,1973–1975
94th,291,61,—,2,144,37,435,100,—,—,1975–1977
95th,292,61,—,1,143,38,435,100,—,—,1977–1979
96th,277,58,—,1,158,41,435,100,—,—,1979–1981
97th,242,46,1,1,192,53,435,100,—,—,1981–1983
98th,269,46,—,—,166,54,435,100,—,—,1983–1985
99th,253,47,—,—,182,53,435,100,—,—,1985–1987
100th,258,55,—,—,177,45,435,100,—,—,1987–1989
101st,260,55,—,—,175,45,435,100,—,—,1989–1991
102nd,267,56,1,—,167,44,435,100,—,—,1991–1993
103rd,258,57,1,—,176,43,435,100,—,—,1993–1995
104th,204,48,1,—,230,52,435,100,—,—,1995–1997
105th,207,45,2,—,226,55,435,100,—,—,1997–1999
106th,211,45,1,—,223,55,435,100,—,—,1999–2001
107th,212,50,2,—,221,50,435,100,—,—,2001–2003
108th,205,48,1,1,229,51,435,100,—,—,2003–2005
109th,202,44,1,1,231,55,435,100,1,—,2005–2007
110th,233,49,—,2,198,49,435,100,4,—,2007–2009
111th,256,57,—,2,178,41,435,100,1,2,2009–2011
112th,193,51,—,2,242,47,435,100,—,—,2011–2013
113th,201,54,—,1,234,45,435,100,—,—,2013–2015
114th,188,44,—,2,246,54,435,100,1,—,2015–2017
