democratic,republican,state,total_votes,year
941173,692611,AL,1666272,2000
167398,79004,AK,284492,2000
781652,685341,AZ,1532016,2000
472940,422768,AR,921781,2000
4567429,5861203,CA,10965856,2000
883748,738227,CO,1741368,2000
561104,816659,CT,1460177,2000
137288,180068,DE,327529,2000
18073,171923,DC,201894,2000
2912790,2912253,FL,5963070,2000
1419720,1116230,GA,2583208,2000
137845,205286,HI,367951,2000
336937,138637,ID,501615,2000
2019421,2589026,IL,4739935,2000
1245836,901980,IN,2199302,2000
634373,638517,IA,1314395,2000
622332,399276,KS,1072216,2000
872520,638923,KY,1547106,2000
927871,792344,LA,1765656,2000
286616,319951,ME,651790,2000
813724,1143888,MD,2021987,2000
878502,1616487,MA,2698994,2000
1953139,2170418,MI,4232501,2000
1109659,1168266,MN,2438685,2000
572844,404614,MS,994184,2000
1189924,1111138,MO,2359892,2000
240178,137126,MT,410986,2000
433850,231776,NE,697132,2000
301575,279978,NV,605655,2000
273559,266348,NH,567795,2000
1284173,1788850,NJ,3187226,2000
286417,286783,NM,598605,2000
2403374,4107697,NY,6821999,2000
1631163,1257692,NC,2914990,2000
174852,95284,ND,288256,2000
2350363,2183628,OH,4701998,2000
744337,474276,OK,1234229,2000
713577,720342,OR,1530549,2000
2281127,2485967,PA,4912185,2000
130555,249508,RI,409112,2000
786892,566037,SC,1383902,2000
190700,118804,SD,316269,2000
1061949,981720,TN,2075753,2000
3799639,2433746,TX,6407637,2000
515096,203053,UT,766697,2000
119775,149022,VT,293794,2000
1437490,1217290,VA,2736640,2000
1108864,1247652,WA,2487433,2000
336473,295497,WV,648251,2000
1237279,1242987,WI,2598607,2000
147947,60481,WY,213726,2000
50456062,50996582,total,105363298,2000
1176394,693933,AL,1883415,2004
190889,111025,AK,311808,2004
1104294,893524,AZ,2012585,2004
572770,468631,AR,1053694,2004
5509826,6745485,CA,12419857,2004
1101255,1001732,CO,2130330,2004
693766,857434,CT,1578662,2004
171660,200152,DE,375190,2004
21256,202970,DC,227586,2004
3964522,3583544,FL,7609810,2004
1914254,1366149,GA,3298790,2004
194184,231691,HI,428989,2004
409235,181098,ID,597261,2004
2346608,2891989,IL,5274727,2004
1479438,969011,IN,2468002,2004
751957,741898,IA,1505814,2004
736456,434993,KS,1187709,2004
1069439,712733,KY,1795882,2004
1102169,820299,LA,1943106,2004
330201,396842,ME,740748,2004
1024703,1334493,MD,2384206,2004
1071109,1803800,MA,2905360,2004
2313746,2479178,MI,4839247,2004
1346695,1445014,MN,2825866,2004
684981,458094,MS,1152145,2004
1455713,1259171,MO,2731364,2004
266063,173710,MT,450434,2004
512814,254328,NE,777255,2004
418690,397190,NV,825899,2004
331237,340511,NH,676227,2004
1668003,1911430,NJ,3609691,2004
376930,370942,NM,756304,2004
2962567,4314280,NY,7448266,2004
1961166,1525849,NC,3498746,2004
196651,111052,ND,312833,2004
2859764,2741165,OH,5627903,2004
959792,503966,OK,1463758,2004
866831,943163,OR,1827826,2004
2793847,2938095,PA,5765764,2004
169046,259760,RI,437134,2004
937974,661699,SC,1615606,2004
232584,149244,SD,388215,2004
1384375,1036477,TN,2437319,2004
4526917,2832704,TX,7410749,2004
663742,241199,UT,912728,2004
121180,184067,VT,312309,2004
1716959,1454742,VA,3192894,2004
1304894,1510201,WA,2859084,2004
423778,326541,WV,755887,2004
1478120,1489504,WI,2997007,2004
167629,70776,WY,242948,2004
62039073,59027478,total,122284939,2004
813479,1266546,AL,2099819,2008
123594,193841,AK,326197,2008
1034707,1230111,AZ,2293475,2008
422310,638017,AR,1086617,2008
8274473,5011781,CA,13464495,2008
1288576,1073589,CO,2401361,2008
997763,629428,CT,1646783,2008
255459,152374,DE,412412,2008
245800,17367,DC,265853,2008
4282074,4045624,FL,8390744,2008
1844137,2048744,GA,3921693,2008
325871,120566,HI,453568,2008
236440,403012,ID,655032,2008
3419673,2031527,IL,5513635,2008
1374039,1345648,IN,2751054,2008
828940,682379,IA,1530386,2008
514765,699655,KS,1235801,2008
751985,1048462,KY,1826620,2008
782989,1148275,LA,1960761,2008
421923,295273,ME,731163,2008
1629467,959862,MD,2622549,2008
1904097,1108854,MA,3080985,2008
2872579,2048639,MI,5001766,2008
1573354,1275409,MN,2900873,2008
554662,724597,MS,1289865,2008
1441911,1445814,MO,2925205,2008
231667,242763,MT,490109,2008
333319,452979,NE,798444,2008
533736,412827,NV,961581,2008
384826,316534,NH,707611,2008
2215422,1613207,NJ,3868237,2008
472422,346832,NM,830158,2008
4610809,2409077,NY,7590551,2008
2142651,2128474,NC,4296847,2008
141278,168601,ND,316621,2008
2933388,2674491,OH,5697927,2008
502496,960165,OK,1462661,2008
1037291,738475,OR,1814251,2008
3276363,2651812,PA,5992384,2008
296571,165391,RI,471766,2008
862449,1034896,SC,1920969,2008
170924,203054,SD,381975,2008
1087437,1479178,TN,2599749,2008
3528633,4479328,TX,8077795,2008
327670,596030,UT,942678,2008
219262,98974,VT,325046,2008
1959532,1725005,VA,3716905,2008
1750848,1229216,WA,3036878,2008
303857,397466,WV,713451,2008
1677211,1262393,WI,2976356,2008
82868,164958,WY,253137,2008
69297997,59597520,total,131032799,2008
795696,1255925,AL,2074338,2012
122640,164676,AK,297625,2012
1025232,1233654,AZ,2299254,2012
394409,647744,AR,1069468,2012
7854285,4839958,CA,13038547,2012
1322998,1185050,CO,2569217,2012
905083,634892,CT,1558960,2012
242584,165484,DE,413921,2012
267070,21381,DC,293764,2012
4237756,4163447,FL,8474179,2012
1773827,2078688,GA,3897839,2012
306658,121015,HI,434697,2012
212787,420911,ID,652274,2012
3019512,2135216,IL,5241179,2012
1152887,1420543,IN,2624534,2012
822544,730617,IA,1574738,2012
440726,692634,KS,1158833,2012
679370,1087190,KY,1797212,2012
809141,1152262,LA,1994065,2012
401306,292276,ME,711053,2012
1677844,971869,MD,2698539,2012
1921290,1188314,MA,3161215,2012
2564569,2115256,MI,4730961,2012
1546167,1320225,MN,2926028,2012
562949,710746,MS,1285584,2012
1223796,1482440,MO,2757323,2012
201839,267928,MT,483932,2012
302081,475064,NE,790662,2012
531373,463567,NV,1009148,2012
369561,329918,NH,708399,2012
2122786,1478088,NJ,3638499,2012
415335,335788,NM,783757,2012
4018385,2145628,NY,6652274,2012
2178391,2270395,NC,4493920,2012
124966,188320,ND,322932,2012
2827621,2661407,OH,5580831,2012
443547,891325,OK,1334872,2012
970488,754175,OR,1775995,2012
2990274,2680434,PA,5741490,2012
279677,157204,RI,446049,2012
865941,1071645,SC,1964118,2012
145039,210610,SD,363815,2012
960709,1462330,TN,2456838,2012
3308124,4569843,TX,7993851,2012
251813,740600,UT,1017008,2012
199239,92698,VT,299290,2012
1971820,1822522,VA,3847243,2012
1755396,1290670,WA,3125516,2012
238230,417584,WV,670556,2012
1620985,1407966,WI,3071434,2012
69286,170962,WY,249061,2012
65446032,60589084,total,128556837,2012
